year,r_star_pct,r_star_adj_pct,r_nipa_pct,r_nipa_adj_pct,capacity_utilization,S_star,K,GDP
1948,1.865,1.5119999999999998,4.313356636514841,5.226790553675102,0.82524,1690713.0174941914,562155.0,2967298.385167368
1949,1.783,1.475,3.4472136800967808,4.647849700658042,0.74167925,1940159.404621161,581107.0,3419247.1816541483
1950,1.924,1.586,3.9726833701590905,4.797140287880448,0.82813575,2111104.54849044,655791.0,3709460.803835002
1951,2.012,1.638,3.2323628493987298,3.765925442656741,0.8583183333333334,2509699.6902863546,713905.0,4393803.164147216
1952,1.956,1.602,2.94903661501306,3.455147144613972,0.8535198333333334,2668650.4881403246,751932.0,4675073.43987052
1953,1.984,1.625,2.962589641485128,3.3193023399693287,0.8925338333333334,2876675.698653576,783259.0,5073455.297822083
1954,1.882,1.5719999999999998,2.875914324862399,3.590163239984657,0.8010539166666666,3075682.5672618654,815219.0,5416739.685493358
1955,2.053,1.671,3.3361104954224645,3.835662000099412,0.8697613333333334,3154500.9858793686,888797.0,5602249.022862645
1956,1.987,1.642,3.237860988231366,3.758900331150389,0.8613851666666666,3450350.9566607527,958480.0,6046042.190251585
1957,1.935,1.6230000000000002,3.0045812225381874,3.5933838108809644,0.8361425833333332,3993853.293085152,1008901.0,6922586.09957203
1958,1.834,1.585,2.571518375241779,3.427797273633348,0.7501955833333334,4400863.955980456,1034000.0,7652139.828764189
1959,1.958,1.638,3.073860969551029,3.765767376636888,0.8162641666666667,4839068.425927426,1078066.0,8475394.05496837
1960,1.912,1.624,2.877452577648082,3.5907488526444884,0.8013516666666668,5331317.180918562,1110974.0,9198007.04272972
1961,1.886,1.618,2.762313716024931,3.573058185953967,0.7730950833333334,5718128.182818898,1147643.0,9985188.010420464
1962,1.984,1.672,3.0165215316712386,3.704475700904137,0.8142910833333333,5962975.486367851,1190386.0,10381650.89052106
1963,2.032,1.705,3.1679176843138417,3.795519482472234,0.8346466666666668,6373674.423613735,1228733.0,10946554.655745951
1964,2.0980000000000003,1.7480000000000002,3.415150931664256,3.9874570129167335,0.8564734166666667,6541037.404294158,1313939.0,11301140.06714608
1965,2.185,1.794,3.802286857235727,4.246581955512976,0.8953758333333333,6733023.378933916,1402886.0,11616173.994848292
1966,2.2230000000000003,1.797,3.8205563169395607,4.192418223470424,0.9113013333333332,7209042.132318834,1522082.0,12471643.127239766
1967,2.136,1.7719999999999998,3.459253139720543,3.969075230180674,0.8715514166666667,7884949.865238378,1636531.0,13450393.04850804
1968,2.158,1.774,3.365693363114054,3.864204758495687,0.8709925,8460440.215822073,1804747.0,14541857.610976204
1969,2.082,1.735,3.041136562669233,3.508927811853185,0.8666854166666667,9353232.368586186,1962901.0,15886049.96952328
1970,1.943,1.675,2.593140123085134,3.2626572356777186,0.7947939166666668,9761153.983557193,2120971.0,16587763.467191013
1971,1.958,1.682,2.739955871845583,3.5134899093623613,0.7798388333333334,10357478.135077575,2352693.0,17933616.71895176
1972,2.036,1.724,2.959771898503161,3.5466867909425432,0.8345174166666667,11095198.78877638,2593933.0,18811634.68914961
1973,2.064,1.7080000000000002,3.4101053958852137,3.888082620781479,0.8770660833333334,11090097.150513211,2947079.0,18847122.262987807
1974,1.892,1.587,3.2951338344720096,3.906875298935861,0.8434192500000001,11333443.223097116,3468501.0,19267003.59965286
1975,1.865,1.612,2.865957181562368,3.894261628126024,0.7359436666666666,11559108.189416882,3786126.0,19628898.69801808
1976,1.953,1.665,3.281294825285132,4.190776873041107,0.7829800833333332,12227046.596257908,4168964.0,20629182.449819364
1977,1.986,1.6840000000000002,3.37828235893804,4.1007870420514525,0.8238131666666666,12827013.127496067,4735809.0,21806440.302511703
1978,1.982,1.652,3.5575418236827234,4.215026613812692,0.8440140833333334,13565482.562775018,5412663.0,23253155.33258045
1979,1.884,1.57,3.5220931416791634,4.193461423154545,0.8399011666666667,15180560.687968142,6264478.0,25194835.461463444
1980,1.756,1.505,2.905925670647404,3.690804848017004,0.787342,15963241.836455503,7117861.0,27090737.8678409
1981,1.7819999999999998,1.524,2.6043193300317338,3.379638548069194,0.7705910833333333,16545397.635323731,7860432.0,27913929.88744144
1982,1.6840000000000002,1.504,2.1565367080283915,3.039065679522333,0.7096051666666666,16837269.43721958,8297204.0,28586077.31095012
1983,1.758,1.5419999999999998,2.274581752343431,3.092554753170018,0.7355025,17397154.288746946,8599570.0,29040267.908402875
1984,1.886,1.6030000000000002,2.372023489123096,2.9867028685533383,0.7941946666666666,17618447.36777034,9112473.0,29492022.77537113
1985,1.864,1.592,2.148126085412934,2.748882135154952,0.7814544166666667,17943271.95018826,9619035.0,30020349.971544668
1986,1.842,1.588,1.6960004246018456,2.162331549476353,0.78433875,18967810.273041576,10230761.0,31640951.36912356
1987,1.868,1.594,2.0557821744047846,2.540584304942112,0.8091769166666667,19665280.121362545,10843464.0,32982239.33442828
1988,1.902,1.605,2.3047347190335783,2.7468790013878936,0.8390375833333333,21294069.67726348,11536165.0,35284415.45179614
1989,1.863,1.5619999999999998,2.2076628226901827,2.651794410930372,0.8325165833333333,22653278.121643785,12203075.0,37811805.6636403
1990,1.863,1.5619999999999998,,,,,,
1991,1.904274263133053,1.5966056892183726,,,,,,
1992,1.994141607714134,1.6719534037839383,,,,,,
1993,2.047409107860635,1.7166146143200816,,,,,,
1994,2.1035630000666274,1.7636958701578485,,,,,,
1995,2.1229496057978654,1.7799502330951504,,,,,,
1996,2.172003403002564,1.8210785375684404,,,,,,
1997,2.223843011252192,1.8645425569382303,,,,,,
1998,2.29267045723177,1.922249733867968,,,,,,
1999,2.346759006872757,1.9675993390956767,,,,,,
2000,2.4111592376526385,2.021594594317456,,,,,,
2001,2.291128560506821,1.920956957333148,,,,,,
2002,2.27009187128138,1.9033191105429497,,,,,,
2003,2.2761311710072705,1.908382656528908,,,,,,
2004,2.275623557126578,1.9079570564850856,,,,,,
2005,2.2225882999928617,1.863490566070236,,,,,,
2006,2.2143892602244666,1.856616223548372,,,,,,
2007,2.134039153905404,1.789248072141836,,,,,,
2008,2.015516049675116,1.6898744334903546,,,,,,
2009,1.8567476183706613,1.5567577991921486,,,,,,
2010,1.955560821416897,1.6396060134477686,,,,,,
2011,1.9898643365958883,1.668367200087374,,,,,,
2012,2.033464670910686,1.7049231432970966,,,,,,
2013,2.1031295965578027,1.763332490511695,,,,,,
2014,2.1455258529139,1.7988788954651165,,,,,,
2015,2.1958437504317154,1.8410670628955124,,,,,,
2016,2.1818965581441754,1.8293732817075692,,,,,,
2017,2.262739353274496,1.8971545194926256,,,,,,
2018,2.362354182342528,1.980674843166413,,,,,,
2019,2.3933615439183584,2.0066724270533958,,,,,,
2020,2.154444120542394,1.806356262097273,,,,,,
2021,2.422997491419954,2.031520172623708,,,,,,
2022,2.591187331421936,2.1725360234466256,,,,,,
2023,2.747647334601181,2.3037171962678715,,,,,,
2024,2.8241786291999764,2.367883531299175,,,,,,
