series_id,year,value,units,stage,provenance
S512-A,1948,0.54,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1949,0.535,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1950,0.53,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1951,0.525,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1952,0.52,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1953,0.515,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1954,0.51,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1955,0.505,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1956,0.5,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1957,0.495,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1958,0.49,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1959,0.485,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1960,0.48,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1961,0.476,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1962,0.472,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1963,0.468,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1964,0.464,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1965,0.46,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1966,0.456,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1967,0.42,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1968,0.448,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1969,0.444,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1970,0.44,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1971,0.436,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1972,0.432,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1973,0.428,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1974,0.424,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1975,0.42,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1976,0.416,share,book_period,Table5_7_KeyRatios.csv:T512A
S512-A,1977,0.412,share,book_period,Table5_7_KeyRatios.csv:T512A
