series_id,year,value,units,stage,provenance
S506-A,1948,1.7,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1949,1.75,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1950,1.77,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1951,1.78,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1952,1.75,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1953,1.74,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1954,1.86,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1955,1.9,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1956,1.84,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1957,1.88,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1958,2.01,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1959,1.99,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1960,1.99,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1961,2.03,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1962,2.06,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1963,2.07,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1964,2.12,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1965,2.1,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1966,2.08,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1967,2.1,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1968,2.08,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1969,2.01,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1970,2.03,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1971,2.08,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1972,1.99,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1973,1.94,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1974,1.95,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1975,2.11,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1976,2.11,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1977,2.1,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1978,2.07,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1979,2.03,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1980,2.07,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1981,2.16,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1982,2.19,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1983,2.22,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1984,2.26,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1985,2.33,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1986,2.4,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1987,2.42,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1988,2.4,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-A,1989,2.44,ratio,book_period,book_tableH1_1948_1989.csv:S_star_V_star
S506-EXT,1998,1.2380175366254853,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,1999,1.217296200237947,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2000,1.2031991804977078,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2001,1.2026527107681815,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2002,1.2598540955067232,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2003,1.365336224004371,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2004,1.4352070935308694,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2005,1.5005407196746545,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
S506-EXT,2006,1.5420328309118223,ratio,extension,S505-EXT / S504-EXT (year-by-year ratio; no growth-splice)
